patch_id,installed_on,description,installed_by
KB2973201,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2977292,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2978742,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB2984972,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2985461,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2991963,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2992611,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2999226,9/19/2020,Update,vagrant-PC\vagrant
KB3004375,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3006121,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3006137,12/17/2020,Hotfix,NT AUTHORITY\SYSTEM
KB3010788,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3011780,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3013531,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3019978,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB3020370,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3021674,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3021917,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3023215,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3030377,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3031432,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3035126,10/9/2020,Security Update,NT AUTHORITY\SYSTEM
KB3037574,10/6/2020,Security Update,NT AUTHORITY\SYSTEM
KB3042058,12/19/2020,Security Update,NT AUTHORITY\SYSTEM
KB3045685,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3046017,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3046269,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3054476,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3055642,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB3059317,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3060716,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3067903,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB3068708,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3071756,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3072305,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3074543,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3075220,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB3078667,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3080149,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB3086255,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB3092601,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
